"dataset","selected_identifier","gene_symbol","evidence_group","analysis_priority","comment","selected_identifier_clean","gene_symbol_clean","gene_for_scoring","has_orgdb_annotation","has_GO_annotation","has_KEGG_pathway","has_STRING_mapping","has_UniProt_sequence","detected_in_GEO_expression","has_sepsis_control_AUC","has_clinical_numeric_association","has_clinical_binary_association","integrated_score","has_STRING_mapping_repaired","has_STRING_interaction_repaired","has_sepsis_control_AUC_repaired","has_differential_expression_repaired","integrated_score_repaired","has_GSE13205_GPL570_probe_mapping","has_GSE13205_GPL570_DE","has_GSE13205_GPL570_AUC","GSE13205_GPL570_best_adj_p","GSE13205_GPL570_best_auc_directional","GSE13205_GPL570_direction","integrated_score_final_GPL570"
"GSE69063","MCEMP1","MCEMP1","known_sepsis_gene","high","reported_as_sepsis_related_in_previous_step","MCEMP1","MCEMP1","MCEMP1",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,0.778346406437991,0.557692307692308,"higher_in_sepsis",6
"GSE13205","AF494535","PPP1R1C","possible_mapping","medium","possible_gene_mapping_from_previous_step","AF494535","PPP1R1C","PPP1R1C",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE,0.000881978269339561,1,"lower_in_sepsis",5
"GSE69063","KREMEN1","KREMEN1","promising_candidate","medium","promising_gene_from_previous_step","KREMEN1","KREMEN1","KREMEN1",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE,0.00218028631793114,0.951923076923077,"lower_in_sepsis",5
"GSE12624","NM_013363","PCOLCE2","known_sepsis_gene","high","reported_as_sepsis_related_in_previous_step","NM_013363","PCOLCE2","PCOLCE2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE,0.124174428175689,0.75,"lower_in_sepsis",5
"GSE69063","ZNF608","ZNF608","promising_candidate","medium","promising_gene_from_previous_step","ZNF608","ZNF608","ZNF608",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE,0.124174428175689,0.75,"higher_in_sepsis",5
"GSE69063","BMX","BMX","known_sepsis_gene","high","reported_as_sepsis_related_in_previous_step","BMX","BMX","BMX",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE,0.182610345834019,0.721153846153846,"higher_in_sepsis",5
"GSE69063","TPST1","TPST1","promising_candidate","medium","promising_gene_from_previous_step","TPST1","TPST1","TPST1",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE,0.259204287374941,0.682692307692308,"higher_in_sepsis",5
"GSE69063","CUTALP","CUTALP","promising_candidate","medium","promising_gene_from_previous_step","CUTALP","CUTALP","CUTALP",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,0.0834286639404988,0.788461538461538,"lower_in_sepsis",4
"GSE69063","LINC00189","LINC00189","promising_candidate","medium","promising_gene_from_previous_step","LINC00189","LINC00189","LINC00189",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,0.778346406437991,0.548076923076923,"higher_in_sepsis",4
"GSE69063","ANKRD22","ANKRD22","known_sepsis_gene","high","reported_as_sepsis_related_in_previous_step","ANKRD22","ANKRD22","ANKRD22",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,0.799903195381623,0.538461538461538,"lower_in_sepsis",4
"GSE69063","ALOX15","ALOX15","promising_candidate","high","promising_gene_from_previous_step","ALOX15","ALOX15","ALOX15",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,FALSE,TRUE,FALSE,FALSE,4,FALSE,FALSE,FALSE,NA,NA,NA,4
"GSE69063","Clec4d","CLEC4D","known_sepsis_gene","high","reported_as_sepsis_related_in_previous_step","CLEC4D","CLEC4D","CLEC4D",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,FALSE,TRUE,FALSE,FALSE,4,FALSE,FALSE,FALSE,NA,NA,NA,4
"GSE69063","CLC","CLC","promising_candidate","high","promising_gene_from_previous_step","CLC","CLC","CLC",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,NA,NA,NA,3
"GSE12624","NM_021197","WFDC1","known_sepsis_gene","high","reported_as_sepsis_related_in_previous_step","NM_021197","WFDC1","WFDC1",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,NA,NA,NA,3
"GSE69063","ADGRE4P","ADGRE4P","promising_candidate","high","promising_gene_from_previous_step","ADGRE4P","ADGRE4P","ADGRE4P",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,1
"GSE69063","MIR3939","MIR3939","promising_candidate","medium","promising_gene_from_previous_step","MIR3939","MIR3939","MIR3939",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,1
"GSE69063","MIR548A1","MIR548A1","promising_candidate","medium","promising_gene_from_previous_step","MIR548A1","MIR548A1","MIR548A1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,1
"GSE12624","AAB35476","","promising_candidate","high","identifier_selected_in_previous_step","AAB35476","","AAB35476",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","AB002365","","promising_candidate","high","identifier_selected_in_previous_step","AB002365","","AB002365",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","AK057549","","promising_candidate","high","identifier_selected_in_previous_step","AK057549","","AK057549",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","AL035301","","promising_candidate","high","identifier_selected_in_previous_step","AL035301","","AL035301",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","M12759","","promising_candidate","high","identifier_selected_in_previous_step","M12759","","M12759",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","NM_001192","","promising_candidate","high","identifier_selected_in_previous_step","NM_001192","","NM_001192",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","NM_030674","","promising_candidate","high","identifier_selected_in_previous_step","NM_030674","","NM_030674",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","AB007953","","candidate","medium","identifier_selected_in_previous_step","AB007953","","AB007953",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","AF074091","","candidate","medium","identifier_selected_in_previous_step","AF074091","","AF074091",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","AF247704","","candidate","medium","identifier_selected_in_previous_step","AF247704","","AF247704",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","AL110199","","candidate","medium","identifier_selected_in_previous_step","AL110199","","AL110199",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","NM_000500","","candidate","medium","identifier_selected_in_previous_step","NM_000500","","NM_000500",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","NM_000582","","candidate","medium","identifier_selected_in_previous_step","NM_000582","","NM_000582",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","NM_003761","","candidate","medium","identifier_selected_in_previous_step","NM_003761","","NM_003761",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","NM_005084","","candidate","medium","identifier_selected_in_previous_step","NM_005084","","NM_005084",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE12624","NM_018728","","candidate","medium","identifier_selected_in_previous_step","NM_018728","","NM_018728",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE13205","AK056971","","promising_candidate","high","identifier_selected_in_previous_step","AK056971","","AK056971",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE13205","AW292273","","promising_candidate","high","identifier_selected_in_previous_step","AW292273","","AW292273",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE13205","NM_001085","","promising_candidate","high","identifier_selected_in_previous_step","NM_001085","","NM_001085",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE13205","NM_030754","","promising_candidate","high","identifier_selected_in_previous_step","NM_030754","","NM_030754",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE13205","W46388","","promising_candidate","high","identifier_selected_in_previous_step","W46388","","W46388",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE13205","AI147310","","candidate","medium","identifier_selected_in_previous_step","AI147310","","AI147310",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE13205","NM_005097","","candidate","medium","identifier_selected_in_previous_step","NM_005097","","NM_005097",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE13205","NM_012113","","candidate","medium","identifier_selected_in_previous_step","NM_012113","","NM_012113",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE13205","NM_014289","","candidate","medium","identifier_selected_in_previous_step","NM_014289","","NM_014289",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE13205","U36189","","candidate","medium","identifier_selected_in_previous_step","U36189","","U36189",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,NA,NA,NA,0
"GSE69063","LOC102723549","LOC102723549","promising_candidate","medium","promising_gene_from_previous_step","LOC102723549","LOC102723549","LOC102723549",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,NA,NA,NA,0
